Specimen ID,Sex,Family name,Latin Name,County,year collected,Population designation,neurocranium length,neurocranium height,neurocranium width,mmcranialvolume,cranialvolume,total body length,bodylength,relativecc,tail length,hindfoot length
16705,M,MURIDAE,CLETHRIONOMYS GAPPERI,CHIS0O,1987,0,12.56,7.29,11.03,1009.933272,1.009933272,111,11.1,0.090984979,26,18
18037,F,MURIDAE,CLETHRIONOMYS GAPPERI,POLK,1998,0,12.55,7.1,10.93,973.91765,0.97391765,129,12.9,0.075497492,31,17
18356,M,MURIDAE,CLETHRIONOMYS GAPPERI,CLEARWATER,1999,0,12.21,7.41,11.35,1026.903735,1.026903735,130,13,0.078992595,42,16
19062,F,MURIDAE,CLETHRIONOMYS GAPPERI,CARLTON,2005,0,12.47,7.24,11.11,1003.041908,1.003041908,112,11.2,0.089557313,32,20
962,UNKNOWN,TALPIDAE,CONDYLURA CRISTATA,CHIS0O,1932,0,16.47,7.86,12.99,1681.610058,1.681610058,172.7,17.27,0.097371746,68.6,27.9
2840,M,TALPIDAE,CONDYLURA CRISTATA,ST. LOUIS,1944,0,16.28,8.35,13.48,1832.44424,1.83244424,172,17.2,0.106537456,68,28
2842,M,TALPIDAE,CONDYLURA CRISTATA,BECKER,1942,0,15.72,8.53,12.51,1677.485916,1.677485916,201,20.1,0.083457011,88,25
5587,M,TALPIDAE,CONDYLURA CRISTATA,BELTRAMI,1960,0,15.71,8.25,13.15,1704.338625,1.704338625,195,19.5,0.087401981,74,27
5927,M,TALPIDAE,CONDYLURA CRISTATA,CARLTON,1958,0,15.23,8,13.43,1636.3112,1.6363112,211,21.1,0.077550294,79,27
7926,F,TALPIDAE,CONDYLURA CRISTATA,ST. LOUIS,1966,0,16.03,9.59,12.94,1989.236438,1.989236438,178,17.8,0.111754856,66,27
7927,M,TALPIDAE,CONDYLURA CRISTATA,ITASCA,1966,0,17.3,9.25,13.69,2190.74225,2.19074225,183,18.3,0.119712691,72,27.5
8152,M,TALPIDAE,CONDYLURA CRISTATA,MILLE LACS,1967,0,16.52,9.27,13.08,2003.076432,2.003076432,191,19.1,0.104873112,75,28
11328,M,TALPIDAE,CONDYLURA CRISTATA,COOK,1972,0,15.72,8.77,13.36,1841.868384,1.841868384,185,18.5,0.099560453,80,26
11333,F,TALPIDAE,CONDYLURA CRISTATA,COOK,1972,0,15.95,9.13,13.41,1952.811135,1.952811135,203,20.3,0.096197593,80,27
11334,F,TALPIDAE,CONDYLURA CRISTATA,COOK,1972,0,16.41,9.39,13.76,2120.277024,2.120277024,200,20,0.106013851,78,26
1413,F,VESPERTILIONIDAE,EPTESICUS FUSCUS,HENNEPIN,1940,1,9.97,5.73,8.73,498.728313,0.498728313,109,10.9,0.045754891,39.5,11
1416,M,VESPERTILIONIDAE,EPTESICUS FUSCUS,WASHINGTON,1940,1,10.58,5.62,8.29,492.920084,0.492920084,108,10.8,0.045640749,43,10
1417,F,VESPERTILIONIDAE,EPTESICUS FUSCUS,WASHINGTON,1940,1,10.37,5.88,8.44,514.634064,0.514634064,107.5,10.75,0.047872936,39,10.5
1978,M,VESPERTILIONIDAE,EPTESICUS FUSCUS,HENNEPIN,1946,1,9.74,5.58,8.46,459.794232,0.459794232,108,10.8,0.04257354,38,10
2284,M,VESPERTILIONIDAE,EPTESICUS FUSCUS,FILLMORE,1947,0,9.34,5.32,8.91,442.727208,0.442727208,108,10.8,0.04099326,38,12
2285,F,VESPERTILIONIDAE,EPTESICUS FUSCUS,FILLMORE,1947,0,10.03,5.18,8.7,452.01198,0.45201198,114,11.4,0.039650174,42,12
2286,F,VESPERTILIONIDAE,EPTESICUS FUSCUS,FILLMORE,1947,0,9.61,5.51,8.73,462.263103,0.462263103,116,11.6,0.039850268,43,13
3171,M,VESPERTILIONIDAE,EPTESICUS FUSCUS,HENNEPIN,1951,1,9.89,5.37,8.57,455.146701,0.455146701,113,11.3,0.040278469,41,12
3673,M,VESPERTILIONIDAE,EPTESICUS FUSCUS,HENNEPIN,1959,1,9.37,5.24,8.72,428.141536,0.428141536,105,10.5,0.040775384,27,11
4230,F,VESPERTILIONIDAE,EPTESICUS FUSCUS,WASHINGTON,1958,1,10.11,5.58,8.68,489.671784,0.489671784,106,10.6,0.046195451,40,13
4345,M,VESPERTILIONIDAE,EPTESICUS FUSCUS,BLUE EARTH,1958,0,9.43,5.7,8.57,460.64607,0.46064607,109,10.9,0.042261107,46,10
4346,F,VESPERTILIONIDAE,EPTESICUS FUSCUS,BLUE EARTH,1958,0,9.8,5.65,8.96,496.1152,0.4961152,114,11.4,0.043518877,46,11
4505,F,VESPERTILIONIDAE,EPTESICUS FUSCUS,HENNEPIN,1958,1,10.32,5.62,8.95,519.08568,0.51908568,120,12,0.04325714,44,12
4893,F,VESPERTILIONIDAE,EPTESICUS FUSCUS,HENNEPIN,1960,1,10.39,5.57,8.53,493.650719,0.493650719,116,11.6,0.042556096,42,13
4938,M,VESPERTILIONIDAE,EPTESICUS FUSCUS,GOODHUE,1958,0,9.76,5.47,9.16,489.026752,0.489026752,103,10.3,0.047478325,41,12
4941,M,VESPERTILIONIDAE,EPTESICUS FUSCUS,MARTIN,1959,0,10.25,5.37,8.61,473.915925,0.473915925,123,12.3,0.03852975,53,11
5908,F,VESPERTILIONIDAE,EPTESICUS FUSCUS,GOODHUE,1958,0,9.83,5.44,8.78,469.512256,0.469512256,110,11,0.042682932,45,14
6020,F,VESPERTILIONIDAE,EPTESICUS FUSCUS,RAMSEY,1960,1,9.94,5.51,8.81,482.518414,0.482518414,118,11.8,0.040891391,47,12
7628,F,VESPERTILIONIDAE,EPTESICUS FUSCUS,BROWN,1966,0,9.73,5.69,9.03,499.934211,0.499934211,122,12.2,0.040978214,41,11
8100,F,VESPERTILIONIDAE,EPTESICUS FUSCUS,PINE,1967,0,10.26,5.78,9.28,550.329984,0.550329984,120,12,0.045860832,43,13
